Project,Domain,Raw_URL
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/core/base.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/common.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/io/pickle.py
pandas-dev/pandas,Data Science,https://raw.githubusercontent.com/pandas-dev/pandas/main/pandas/core/apply.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/cli.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/sse.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/scripts/docs.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/types.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/utils.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/logger.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/params.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/scripts/people.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/routing.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/__main__.py
tiangolo/fastapi,Web Development,https://raw.githubusercontent.com/tiangolo/fastapi/master/fastapi/encoders.py
